,url,league_name,team
534,101102,Colombian Liga Postobón ,Deportivo Cali
535,111821,Austrian Football Bundesliga ,FC Admira Wacker Mödling
536,114147,Romanian Liga I ,FC Hermannstadt
537,113183,Japanese J. League Division 1 ,Oita Trinita
538,113958,Italian Serie B ,Pordenone
539,112075,Austrian Football Bundesliga ,SKN St. Pölten
540,543,German 2. Bundesliga ,SSV Jahn Regensburg
541,820,Danish Superliga ,Aalborg BK
542,101033,Turkish Süper Lig ,Atiker Konyaspor
543,305,Rep. Ireland Airtricity League ,Bohemian FC
544,269,Danish Superliga ,Brøndby IF
545,1327,International,Bulgaria
546,1457,Turkish Süper Lig ,Denizlispor
547,294,French Ligue 2 ,ESTAC Troyes
548,1805,French Ligue 2 ,Grenoble Foot 38
549,101026,Turkish Süper Lig ,Göztepe SK
550,432,Swedish Allsvenskan ,Helsingborgs IF
551,1750,Belgian Jupiler Pro League ,KSV Cercle Brugge
552,682,Belgian Jupiler Pro League ,KV Oostende
553,1844,Italian Serie B ,Livorno
554,1914,Holland Eredivisie ,PEC Zwolle
555,1843,Italian Serie B ,Palermo
556,15009,Austrian Football Bundesliga ,SCR Altach
557,423,Rep. Ireland Airtricity League ,St. Patrick's Athletic
558,983,Korean K League Classic ,Suwon Samsung Bluewings
559,1473,Korean K League Classic ,Ulsan Hyundai FC
560,607,Saudi Abdul L. Jameel League ,Al Ittihad
561,741,Turkish Süper Lig ,Antalyaspor
562,1847,Italian Serie B ,Ascoli
563,111327,Chilian Campeonato Nacional ,CD Huachipato
564,110831,Spanish Segunda División ,CD Lugo
565,1330,International,Czech Republic
566,1445,Danish Superliga ,Esbjerg fB
567,112218,Russian Premier League ,FC Krasnodar
568,898,Swiss Super League ,FC St. Gallen
569,1043,Campeonato Brasileiro Série A ,Flamengo
570,1832,German 2. Bundesliga ,Karlsruher SC
571,82,Scottish Premiership ,Kilmarnock
572,83,Scottish Premiership ,Motherwell
573,110227,Russian Premier League ,Rubin Kazan
574,110169,German 3. Bundesliga ,SC Fortuna Köln
575,1785,Austrian Football Bundesliga ,SV Mattersburg
576,1361,International,Slovenia
577,670,Belgian Jupiler Pro League ,Sporting de Charleroi
578,111434,Italian Serie B ,US Cremonese
579,111716,Argentina Primera División  ,Unión de Santa Fe
580,110913,Belgian Jupiler Pro League ,Waasland-Beveren
581,111085,Polish T-Mobile Ekstraklasa ,LKS Lodz
582,113391,Romanian Liga I ,Academica Clinceni
583,113345,Saudi Abdul L. Jameel League ,Al Adalah
584,1962,English League One ,Bristol Rovers
585,112533,Chilian Campeonato Nacional ,CD Antofagasta
586,110978,Chilian Campeonato Nacional ,CD Cobresal
587,110069,Spanish Segunda División ,CD Mirandés
588,111328,Chilian Campeonato Nacional ,CD Palestino
589,112637,Romanian Liga I ,Gaz Metan Mediaş
590,1341,International,Iceland
591,101144,Japanese J. League Division 1 ,Júbilo Iwata
592,111083,Polish T-Mobile Ekstraklasa ,Korona Kielce
593,113158,Japanese J. League Division 1 ,Matsumoto Yamaga
594,111138,USA Major League Soccer ,Minnesota United FC
595,111473,International,New Zealand
596,1937,English League Two ,Notts County
597,110178,German 2. Bundesliga ,SV Sandhausen
598,112836,Japanese J. League Division 1 ,Vegalta Sendai
599,1569,Polish T-Mobile Ekstraklasa ,Wisła Płock
